Player_Name,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Matches_Batted,Not_Outs,Runs_Scored,Balls_Faced,Half_Centuries,Fours,Sixes,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Player_Role,Fantasy_Points_Per_Match
Anrich Nortje,4.8325,65.23,24.84,8.342500000000001,17.67,40.0,9.0,45.0,41.0,0.0,6.0,0.0,40.0,922.0,1280.0,53.0,0.0,Bowler,34.65
Anuj Rawat,18.99,97.1925,0.0,0.0,0.0,21.0,4.0,279.0,229.0,1.0,21.0,14.0,21.0,0.0,0.0,0.0,0.0,Batsman,16.0
Anukul Roy,3.8333333333333335,40.35,29.223333333333333,7.163333333333334,23.333333333333332,6.0,2.0,23.0,21.0,0.0,3.0,0.0,7.0,102.0,131.0,5.0,0.0,Bowler,22.428571428571427
Arjun Tendulkar,13.0,144.44,30.67,9.36,19.67,4.0,0.0,13.0,9.0,0.0,0.0,1.0,4.0,59.0,92.0,3.0,0.0,Bowler,23.5
Arshdeep Singh,1.1666666666666667,39.845,30.175,9.101666666666667,20.043333333333333,53.0,7.0,25.0,37.0,0.0,3.0,0.0,53.0,1106.0,1615.0,59.0,1.0,Bowler,28.62264150943396
Ashton Turner,1.0,30.0,0.0,0.0,0.0,4.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,-0.25
Atharva Taide,26.57,144.19,0.0,0.0,0.0,7.0,0.0,186.0,129.0,2.0,20.0,6.0,7.0,0.0,0.0,0.0,0.0,Batsman,34.0
Avesh Khan,2.75,58.6525,18.905,8.73,13.17375,48.0,6.0,31.0,20.0,0.0,2.0,3.0,48.0,1024.0,1469.0,55.0,1.0,Bowler,29.875
Axar Patel,20.59181818181818,129.46727272727273,32.54181818181818,7.241818181818181,26.33909090909091,137.0,32.0,1439.0,1097.0,1.0,90.0,70.0,137.0,2859.0,3446.0,112.0,1.0,Bowler,32.839416058394164
Ayush Badoni,14.976666666666667,94.07333333333334,1.8333333333333333,3.8333333333333335,2.0,29.0,5.0,400.0,307.0,2.0,24.0,19.0,29.0,19.0,17.0,2.0,0.0,Batsman,18.96551724137931
Azmatullah Omarzai,17.0,154.55,28.5,9.5,18.0,1.0,0.0,17.0,11.0,0.0,1.0,1.0,2.0,36.0,57.0,2.0,0.0,Bowler,40.0
B. Sai Sudharsan,44.32,127.99333333333334,0.0,0.0,0.0,14.0,2.0,552.0,409.0,4.0,50.0,16.0,14.0,0.0,0.0,0.0,0.0,Batsman,47.857142857142854
Bhuvneshwar Kumar,8.315,76.2057142857143,27.419999999999998,7.687142857142858,22.395714285714284,161.0,30.0,283.0,297.0,0.0,27.0,3.0,161.0,3592.0,4447.0,170.0,2.0,Bowler,28.496894409937887
Cameron Green,30.36,119.03,41.585,9.35,26.5,18.0,7.0,473.0,309.0,2.0,41.0,22.0,18.0,258.0,407.0,8.0,0.0,Bowler,43.55555555555556
Chetan Sakariya,2.4,43.55666666666667,29.363333333333333,8.986666666666666,20.093333333333334,19.0,2.0,20.0,31.0,0.0,3.0,0.0,19.0,426.0,599.0,20.0,0.0,Bowler,27.842105263157894
Chris Woakes,6.666666666666667,107.90000000000002,20.95,8.86,14.156666666666666,21.0,6.0,78.0,77.0,0.0,7.0,2.0,21.0,440.0,658.0,30.0,0.0,Bowler,40.714285714285715
Darshan Nalkande,0.0,0.0,36.75,11.21,19.75,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,55.0,103.0,3.0,0.0,Bowler,25.0
Daryl Mitchell,23.25,95.19,0.0,6.75,0.0,4.0,1.0,63.0,70.0,0.0,2.0,2.0,4.0,12.0,27.0,0.0,0.0,Bowler,19.75
David Miller,31.89923076923077,119.83,0.0,0.0,0.0,122.0,40.0,2726.0,1972.0,12.0,188.0,126.0,122.0,0.0,0.0,0.0,0.0,Batsman,26.737704918032787
David Warner,40.07666666666667,138.43933333333334,0.0,0.8,0.0,177.0,22.0,6426.0,4593.0,61.0,649.0,228.0,177.0,1.0,2.0,0.0,0.0,Batsman,45.32768361581921
David Willey,3.0,56.46,51.5,7.683333333333334,42.0,11.0,3.0,53.0,62.0,0.0,7.0,0.0,11.0,216.0,272.0,6.0,0.0,Bowler,19.272727272727273
Deepak Chahar,5.145,86.48,31.095,8.43375,21.415,75.0,6.0,80.0,59.0,0.0,2.0,6.0,75.0,1552.0,2056.0,73.0,2.0,Bowler,25.933333333333334
Deepak Hooda,26.831,133.925,31.433,8.121,21.3,108.0,15.0,1346.0,1039.0,7.0,82.0,60.0,108.0,355.0,509.0,10.0,0.0,Bowler,17.296296296296298
Devdutt Padikkal,22.272,100.696,0.0,0.0,0.0,58.0,2.0,1521.0,1216.0,9.0,166.0,42.0,58.0,0.0,0.0,0.0,0.0,Batsman,31.775862068965516
Devon Conway,46.845,142.685,0.0,0.0,0.0,23.0,3.0,924.0,654.0,9.0,99.0,30.0,23.0,0.0,0.0,0.0,0.0,Batsman,50.391304347826086
Dewald Brevis,34.5,131.765,4.0,8.0,1.5,8.0,0.0,207.0,151.0,0.0,16.0,14.0,8.0,3.0,8.0,1.0,0.0,Batsman,36.25
Dhruv Jurel,10.855,169.7,0.0,0.0,0.0,14.0,5.0,172.0,100.0,0.0,12.0,10.0,14.0,0.0,0.0,0.0,0.0,Batsman,15.0
Dinesh Karthik,25.655882352941177,136.1094117647059,0.0,0.0,0.0,244.0,48.0,4582.0,3439.0,20.0,445.0,143.0,244.0,0.0,0.0,0.0,0.0,Batsman,22.44672131147541
Dushmantha Chameera,10.75,153.57,42.67,8.73,29.33,12.0,4.0,43.0,28.0,0.0,3.0,3.0,12.0,264.0,384.0,9.0,0.0,Bowler,24.416666666666668
Faf du Plessis,32.7525,130.17083333333332,0.0,1.3333333333333333,0.0,132.0,11.0,4171.0,3111.0,33.0,382.0,145.0,132.0,6.0,16.0,0.0,0.0,Batsman,38.71969696969697
Fazalhaq Farooqi,0.0,22.5,42.125,8.975,28.0,7.0,2.0,3.0,13.0,0.0,0.0,0.0,7.0,152.0,227.0,6.0,0.0,Bowler,21.285714285714285
Gerald Coetzee,1.0,33.33,13.5,6.75,12.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,24.0,27.0,2.0,0.0,Bowler,61.0
Glenn Maxwell,21.416666666666668,134.33416666666668,35.409166666666664,8.806666666666667,23.34583333333333,126.0,17.0,2722.0,1731.0,18.0,226.0,158.0,126.0,872.0,1210.0,33.0,0.0,Bowler,33.70634920634921
Glenn Phillips,10.4,128.025,20.0,8.335,15.0,8.0,1.0,65.0,55.0,0.0,3.0,6.0,8.0,30.0,40.0,2.0,0.0,Bowler,18.5
Hardik Pandya,27.387999999999998,156.688,41.525999999999996,7.220999999999999,26.663999999999998,124.0,39.0,2320.0,1587.0,10.0,173.0,126.0,124.0,1220.0,1793.0,53.0,0.0,Bowler,33.596774193548384
Harpreet Bhatia,11.3325,74.7025,0.0,0.0,0.0,7.0,1.0,96.0,85.0,0.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,Batsman,15.142857142857142
Harpreet Brar,2.6666666666666665,98.63833333333332,16.253333333333334,7.816666666666666,13.951666666666668,30.0,10.0,162.0,140.0,0.0,11.0,7.0,30.0,493.0,619.0,21.0,1.0,Bowler,24.533333333333335
